user,day,severity,severity_score,role,department,reasons
HNB2571,2011-01-24,Critical,11.0,WebDeveloper,3 - SoftwareManagement,off hours logon count unusually high for this user (z=4.0) — would not flag below 0.6 (actual: 1); off hours usb count unusually high for this user (z=7.7) — would not flag below 0.7 (actual: 2); distinct pcs unusually high for this user (z=4.8) — would not flag below 1.5 (actual: 2); logon count unusually high for this user (z=5.9) — would not flag below 1.9 (actual: 3); Flagged as multivariate outlier by anomaly model
ECB1683,2011-05-13,Critical,11.0,Technician,3 - FieldService,off hours logon count unusually high for this user (z=4.2) — would not flag below 1.3 (actual: 2); off hours usb count unusually high for this user (z=5.4) — would not flag below 1.0 (actual: 2); distinct pcs unusually high for this user (z=3.6) — would not flag below 1.7 (actual: 2); logon count unusually high for this user (z=5.2) — would not flag below 2.6 (actual: 4); Flagged as multivariate outlier by anomaly model
HMY0235,2011-04-28,Critical,11.0,ComputerProgrammer,3 - SoftwareManagement,off hours logon count unusually high for this user (z=4.8) — would not flag below 1.1 (actual: 2); off hours usb count unusually high for this user (z=3.9) — would not flag below 0.7 (actual: 1); distinct pcs unusually high for this user (z=2.8) — would not flag below 1.9 (actual: 2); logon count unusually high for this user (z=3.2) — would not flag below 3.6 (actual: 4); Flagged as multivariate outlier by anomaly model
HMY0235,2011-01-10,Critical,11.0,ComputerProgrammer,3 - SoftwareManagement,off hours logon count unusually high for this user (z=4.8) — would not flag below 1.1 (actual: 2); off hours usb count unusually high for this user (z=3.9) — would not flag below 0.7 (actual: 1); distinct pcs unusually high for this user (z=2.8) — would not flag below 1.9 (actual: 2); logon count unusually high for this user (z=3.2) — would not flag below 3.6 (actual: 4); Flagged as multivariate outlier by anomaly model
HMY0235,2011-03-24,Critical,10.0,ComputerProgrammer,3 - SoftwareManagement,off hours usb count unusually high for this user (z=3.9) — would not flag below 0.7 (actual: 1); usb connect count unusually high for this user (z=3.0) — would not flag below 4.5 (actual: 5); distinct pcs unusually high for this user (z=2.8) — would not flag below 1.9 (actual: 2); logon count unusually high for this user (z=3.2) — would not flag below 3.6 (actual: 4); Flagged as multivariate outlier by anomaly model
TJS3067,2010-05-09,Critical,10.0,Physicist,2 - Research,off hours logon count unusually high for this user (z=2.6) — would not flag below 1.0 (actual: 1); off hours usb count unusually high for this user (z=3.8) — would not flag below 0.7 (actual: 1); usb connect count unusually high for this user (z=2.8) — would not flag below 4.6 (actual: 5); Flagged as multivariate outlier by anomaly model
REF3266,2010-02-01,Critical,10.0,StockroomClerk,3 - Assembly,off hours logon count unusually high for this user (z=3.4) — would not flag below 0.8 (actual: 1); off hours usb count unusually high for this user (z=14.3) — would not flag below 0.4 (actual: 2); usb connect count unusually high for this user (z=2.6) — would not flag below 2.0 (actual: 2); Flagged as multivariate outlier by anomaly model
REF3266,2010-06-23,Critical,10.0,StockroomClerk,3 - Assembly,off hours logon count unusually high for this user (z=3.4) — would not flag below 0.8 (actual: 1); usb connect count unusually high for this user (z=2.6) — would not flag below 2.0 (actual: 2); distinct pcs unusually high for this user (z=4.6) — would not flag below 1.6 (actual: 2); logon count unusually high for this user (z=4.0) — would not flag below 3.2 (actual: 4); Flagged as multivariate outlier by anomaly model
EYD2871,2011-01-13,Critical,10.0,ProductionLineWorker,3 - Assembly,off hours logon count unusually high for this user (z=3.3) — would not flag below 0.8 (actual: 1); off hours usb count unusually high for this user (z=3.4) — would not flag below 1.5 (actual: 2); distinct pcs unusually high for this user (z=3.9) — would not flag below 1.7 (actual: 2); Flagged as multivariate outlier by anomaly model
BEH0103,2011-03-01,Critical,10.0,AdministrativeAssistant,4 - Engineering,off hours logon count unusually high for this user (z=4.3) — would not flag below 0.6 (actual: 1); usb connect count unusually high for this user (z=2.7) — would not flag below 1.9 (actual: 2); distinct pcs unusually high for this user (z=3.1) — would not flag below 1.8 (actual: 2); logon count unusually high for this user (z=4.0) — would not flag below 3.2 (actual: 4); Flagged as multivariate outlier by anomaly model
